INDEX(),Date,Brand,Channel Funnel,Channel,Funnel,Tactic,Centralized Channel Funnel Tactic,Spend,LCND,LCROAS,pND,pROAS,Visit,clicks,impressions,orders
1,8/1/24,brand us,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion," 10,185.00 "," 124,326.97 ", 12.21 ,,," 14,531.00 ", -   , -   , 909.00 
2,8/1/24,brand us,Brand,Search,Conversion,Brand,Search Conversion Brand, 883.70 ," 87,928.79 ", 99.50 ,,," 20,675.00 "," 15,411.00 "," 36,435.00 ", 620.00 
3,8/1/24,brand us,CVR DAB,Social,Conversion,CVR DAB,Social Conversion DABA, 458.90 ," 3,480.75 ", 7.58 ,,," 2,509.00 "," 3,591.00 "," 37,126.00 ", 24.00 
4,8/1/24,brand us,CVR DPA,Social,Conversion,CVR DPA,Social Conversion DPA, 343.20 ," 3,031.14 ", 8.83 ,,," 1,227.00 "," 1,704.00 "," 12,397.00 ", 22.00 
5,8/1/24,brand us,Meta AWE,Social,Awareness,Meta AWE,Meta AWE," 3,014.38 ", -   , -   ,,, 276.00 ," 1,129.00 "," 1,249,697.00 ", -   
6,8/1/24,brand us,Non Brand CON,Search,Consideration,Non Brand,Search Consideration Non Brand, 676.01 ,,,,,, 184.00 ," 2,558.00 ",
7,8/1/24,brand us,Pinterest AWE,Social,Awareness,Pinterest AWE,Pinterest AWE," 6,959.34 ", -   , -   ,,, 117.00 ," 2,086.00 "," 2,030,533.00 ", -   
8,8/1/24,brand us,PLA,Search,Conversion,PLA,Search Conversion PLA," 23,473.37 "," 81,307.87 ", 3.46 ,,," 27,815.00 "," 28,525.00 "," 2,842,069.00 ", 571.00 
9,8/1/24,brand us,Social Consideration,Social,Consideration,Not Applicable,Social Consideration," 6,596.90 "," 3,372.60 ", 0.51 ,,," 12,002.00 "," 31,068.00 "," 1,234,058.00 ", 29.00 
10,8/1/24,brand us,TikTok AWE,Social,Awareness,TikTok AWE,TikTok AWE," 3,585.14 ", -   , -   ,,, 238.00 ," 1,920.00 "," 1,035,480.00 ", -   
11,8/1/24,brand us,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC,, 533.97 , -   ,, -   , 420.00 ,,, 3.00 
12,8/1/24,brand us,CVR CUS,Social,Conversion,CVR CUS,Social Conversion Custom,," 5,162.51 ", -   ,, -   ," 1,872.00 ",,, 40.00 
13,8/1/24,brand us,Non Brand,Search,Conversion,Non Brand,Search Conversion Non Brand,, 63.34 , -   ,, -   , 135.00 ,,, 1.00 
14,8/1/24,brand ca,Affiliates,Affiliates,Conversion,Not Applicable,Affiliates Conversion, 711.00 ," 13,708.53 ", 19.28 ,,, 833.00 , -   , -   , 106.00 
15,8/1/24,brand ca,Brand,Search,Conversion,Brand,Search Conversion Brand, 246.29 ," 11,371.37 ", 46.17 ,,," 2,252.00 "," 4,492.00 "," 8,496.00 ", 93.00 
16,8/1/24,brand ca,CVR ASC,Social,Conversion, CVR ASC,Social Conversion ASC, 166.00 , 813.24 , 4.90 ,,, 913.00 ," 1,493.00 "," 15,064.00 ", 10.00 
17,8/1/24,brand ca,CVR CUS,Social,Conversion,CVR CUS,Social Conversion Custom, 282.93 ," 1,619.66 ", 5.72 ,,, 814.00 ," 1,008.00 "," 26,857.00 ", 14.00 
