brand,model,estimator,base_estimator,bias_pct,bias_weeks,params
banana republic,Search | Conversion | Brand,PLS,PLS,8.667021075067893,4,
banana republic,Search | Conversion | Non Brand,WLS,WLS,7.633641436349814,4,
banana republic,Search | Conversion | PMAX,RLM_Tukey,RLM,23.753542916488858,6,"{""norm"": ""tukey""}"
banana republic,Social | Conversion | CVR ASC Volume,WLS,WLS,17.44912014762223,6,
banana republic,Social | Conversion | CVR ASC Value,WLS,WLS,22.26488998228944,6,
banana republic,Social | Conversion | CVR ASC Omni,WLS,WLS,18.90910375912793,6,
banana republic canada,Search | Conversion | Brand,WLS,WLS,-35.59020971287825,4,
banana republic canada,Search | Conversion | PMAX,PLS,PLS,,3,
banana republic canada,Search | Conversion | RSC,PLS,PLS,-8.664697421050004,4,
banana republic canada,Social | Conversion | CVR ASC Volume,PCA,PCA,12.386119466629442,4,
banana republic canada,Social | Conversion | CVR ASC Value,PCA,PCA,20.324016079900552,8,
banana republic factory,Search | Conversion | Brand,WLS,WLS,3.241466767030743,6,
banana republic factory,Search | Conversion | Non Brand,WLS,WLS,2.576113732254104,6,
banana republic factory,Search | Conversion | RSC,PLS,PLS,7.40972187161395,8,
banana republic factory,Search | Conversion | PMAX,PLS,PLS,-2.8494083080596977,6,
banana republic factory,Social | Conversion | CVR ASC Omni,OLS,OLS,6.634900165658464,8,
banana republic factory,Social | Conversion | CVR ASC Value,OLS,OLS,5.195596401823943,8,
banana republic factory,Social | Conversion | CVR ASC Volume,OLS,OLS,-3.264366372331129,4,
